month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link,Total Tweet Count
1_2020,58,28,8,22,59,53,232,14,"$42,809.43",265.6963,471,3540,12.09,0.0751,15,117
2_2020,52,28,10,14,120,36,416,18,"$28,232.41",118.6145,382,2257,12.51,0.0526,24,166
3_2020,45,30,5,10,107,42,341,10,"$23,866.87",151.8516,483,2808,8.5,0.0541,27,161
4_2020,65,23,4,38,558,700,694,30,"$28,701.87",175.5544,415,2950,9.73,0.0595,17,681
5_2020,63,18,5,40,45,36,257,6,"$17,802.69",86.0143,425,1896,9.39,0.0454,18,113
7_2020,96,46,11,39,181,60,778,26,"$82,373.24",327.1995,871,3458,23.82,0.0946,37,255
8_2020,84,32,6,46,160,51,588,19,"$176,762.97",445.1786,1129,3470,50.94,0.1283,32,234
9_2020,175,59,12,104,148,96,957,21,"$971,680.87",2743.3019,2468,8301,117.06,0.3305,67,439
10_2020,315,96,25,194,899,245,2137,330,"$1,620,213.33",4248.9025,3934,16213,99.93,0.2621,131,1251
11_2020,533,168,51,314,657,368,2768,516,"$2,138,575.90",4520.7282,6917,30159,70.91,0.1499,176,1156
12_2020,1060,760,49,251,457,294,3100,234,"$1,400,465.89",2304.4516,6011,23304,60.1,0.0989,197,1491
1_2021,451,234,48,169,664,313,3262,181,"$930,549.61",806.4552,1848,5710,162.97,0.1412,109,1010
2_2021,505,259,32,214,1127,766,4036,161,"$1,661,326.53",967.6123,2038,6038,275.15,0.1603,133,1612
3_2021,1269,717,109,443,3089,1879,10190,542,"$5,600,457.69",3228.0068,5961,18744,298.79,0.1722,280,4006
4_2021,2469,1625,90,754,2972,1786,12949,263,"$4,774,363.83",2084.3564,5215,15950,299.33,0.1307,405,4315
5_2021,4279,1650,257,2372,13441,8472,45794,941,"$27,712,127.44",9787.0518,17416,113093,245.04,0.0865,926,11651
6_2021,11802,6563,599,4640,98484,61209,230718,5618,"$122,233,238.83",54256.5929,61655,435468,280.69,0.1246,3971,90190
7_2021,29764,12584,1919,15261,280126,174798,624972,18789,"$666,909,764.78",315491.1971,215089,1349597,494.15,0.2338,9624,331898
8_2021,39927,17488,2332,20107,351600,192920,676106,62467,"$848,183,429.85",277873.3477,305264,1854260,457.42,0.1499,11213,668876
9_2021,37319,16995,3196,17128,216464,127534,488709,15264,"$518,458,025.13",153665.719,320888,1819831,284.89,0.0844,13425,432347
10_2021,51779,20168,4296,27315,236804,143115,543060,16084,"$545,934,208.87",145319.9751,391627,2067429,264.06,0.0703,14780,355745
11_2021,65825,28283,5932,31610,195783,154541,514101,12793,"$753,987,033.42",169544.9978,520425,2643500,285.22,0.0641,14441,360092
12_2021,66364,35226,4129,27009,136005,103274,347175,9784,"$301,372,336.87",73385.2509,424325,1748466,172.36,0.042,10384,226031
2_2022,32889,14781,3907,14201,100636,69748,237471,7688,"$82,566,793.30",28309.8478,270219,1160793,71.13,0.0244,12030,147525
