month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link,Total Tweet Count
4_2021,29,8,1,20,11,7,81,2,"$10,957.57",3.725,24,35,313.07,0.1064,9,38
5_2021,8126,3687,1536,2903,13023,15293,95006,2737,"$17,415,716.81",5844.579,3269,8367,2081.48,0.6985,3409,20515
6_2021,16782,8172,2712,5898,35635,41183,212376,6255,"$44,053,129.49",18957.8445,2347,5897,7470.43,3.2148,6159,52858
7_2021,10920,5303,1544,4073,37866,42053,167217,5269,"$40,330,935.38",19540.8296,1538,2929,13769.52,6.6715,4230,55528
8_2021,24988,11669,3734,9585,66395,76092,345455,9291,"$297,031,505.09",95125.9354,1830,3315,89602.26,28.6956,9651,112576
9_2021,34792,16390,3405,14997,112648,84625,424897,15030,"$129,009,952.05",36860.3796,599,774,166679.52,47.6232,12952,159805
10_2021,24811,9572,4266,10973,68287,56761,352193,7141,"$95,039,347.43",24999.356,449,559,170016.72,44.7216,11100,104326
11_2021,39879,16673,5456,17750,111124,100015,606682,14846,"$199,311,559.42",44903.0088,703,908,219506.12,49.4527,18088,159676
12_2021,49275,19938,7832,21505,151057,137515,682639,20008,"$154,787,548.72",38617.1789,498,597,259275.63,64.6854,22431,226303
1_2022,80493,38259,12789,29445,198831,180913,859974,28296,"$311,152,857.91",105313.6814,815,1063,292712,99.0721,37832,498776
2_2022,59739,23712,10561,25466,199311,129293,607160,21799,"$110,177,074.74",38760.6737,310,352,313003.05,110.1156,43498,494873
