month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link,Total Tweet Count
1_2020,421,28,6,387,58,37,393,17,"$65,792.45",440.9802,64,360,182.76,1.2249,411,466
2_2020,105,12,4,89,50,11,118,5,"$18,665.03",80.69,36,76,245.59,1.0617,100,114
3_2020,51,3,0,48,75,7,76,0,"$5,973.50",40.936,24,42,142.23,0.9747,49,60
4_2020,109,10,2,97,113,20,299,12,"$37,627.78",194.22,30,95,396.08,2.0444,100,147
5_2020,655,31,10,614,453,64,2052,72,"$315,923.75",1522.609,108,589,536.37,2.5851,606,828
6_2020,148,21,4,123,233,51,784,11,"$40,618.46",173.035,46,99,410.29,1.7478,116,273
7_2020,154,27,15,112,118,73,561,8,"$32,298.13",123.959,46,80,403.73,1.5495,143,187
8_2020,389,193,19,177,149,130,608,6,"$51,678.37",130.89,51,104,496.91,1.2586,200,430
9_2020,1599,534,67,998,786,423,3210,132,"$2,960,678.44",8267.2097,292,2079,1424.09,3.9765,1085,2012
10_2020,1116,681,38,397,305,205,1688,84,"$1,177,527.75",3261.7978,146,471,2500.06,6.9253,639,1351
11_2020,572,402,23,147,95,88,1120,77,"$400,687.45",813.3131,58,90,4452.08,9.0368,167,663
1_2021,1281,427,108,746,1137,942,8111,596,"$6,094,519.47",4918.5759,213,501,12164.71,9.8175,732,2346
2_2021,4593,1282,295,3016,5523,3928,34927,1500,"$77,624,023.13",43928.5318,706,2096,37034.36,20.9583,2954,10417
3_2021,11442,4811,874,5757,14393,14789,77955,3358,"$98,490,051.43",55991.2882,679,1440,68395.87,38.8828,5514,27831
4_2021,24639,9408,1403,13828,23182,19900,112365,3968,"$87,151,587.26",38684.027,525,1229,70912.6,31.476,9027,51181
5_2021,19947,6372,1203,12372,17105,12823,85044,5250,"$70,330,385.15",22005.244,406,769,91456.94,28.6154,5987,41755
6_2021,12065,3416,1694,6955,11573,8026,50410,4827,"$18,848,027.69",8331.914,258,387,48702.91,21.5295,3212,26404
7_2021,23294,8266,2290,12738,17694,14904,97300,7518,"$135,511,792.70",58523.4218,667,1396,97071.48,41.9222,4197,47376
9_2021,46750,18854,2289,25607,83123,51163,223407,10612,"$217,668,694.65",64832.3575,319,521,417790.2,124.4383,20325,165640
10_2021,53736,27312,2571,23853,86700,40751,232485,12981,"$157,191,187.33",42075.567,244,321,489692.17,131.0765,16350,166804
11_2021,34884,12297,2294,20293,46619,28784,145530,8892,"$134,607,007.83",29959.7654,194,273,493065.96,109.7427,11645,85277
1_2022,44675,19731,1653,23291,37005,31801,147578,10907,"$124,253,971.40",44933.7723,281,517,240336.5,86.9125,16685,85179
2_2022,34913,16513,1729,16671,42096,27521,135011,10554,"$91,817,734.57",31839.1402,157,260,353145.13,122.4582,13306,88051
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
