month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link,Total Tweet Count
5_2021,16,7,0,9,20,8,90,2,"$160,286.12",50.1507,25,75,2137.15,0.6687,5,105
6_2021,27,17,1,9,121,45,426,21,"$487,030.67",233.2553,113,238,2046.35,0.9801,8,430
7_2021,32,17,2,13,73,38,347,10,"$1,885,043.18",869.2368,190,372,5067.32,2.3367,11,217
8_2021,200,80,13,107,586,560,1477,52,"$21,061,556.80",6695.881,603,1007,20915.15,6.6493,90,2892
9_2021,184,77,20,87,231,235,1266,25,"$33,790,813.82",10071.3238,802,1148,29434.51,8.7729,64,1965
10_2021,771,348,78,345,4134,3937,11402,371,"$46,470,638.62",12823.6144,590,731,63571.33,17.5426,287,4981
11_2021,1437,321,59,1057,2330,2442,8258,872,"$19,195,148.91",4303.8495,397,458,41910.81,9.3971,374,3834
12_2021,1018,269,72,677,2193,1258,7379,330,"$18,008,377.14",4440.7117,463,570,31593.64,7.7907,336,3307
1_2022,1382,543,89,750,3577,3063,18406,464,"$28,151,461.03",9587.3516,640,812,34669.29,11.8071,755,4962
2_2022,528,298,27,203,1716,1384,7300,194,"$7,800,186.78",2711.9398,246,292,26712.97,9.2875,300,2427
