month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link,Total Tweet Count
3_2021,1,1,0,0,0,1,2,0,"$45,257.03",26.3,3,3,15085.68,8.7667,0,1
4_2021,0,0,0,0,0,0,0,0,"$73,492.96",31.0983,35,47,1563.68,0.6617,0,0
5_2021,0,0,0,0,0,0,0,0,"$147,471.65",43.8588,30,53,2782.48,0.8275,0,0
6_2021,0,0,0,0,0,0,0,0,"$131,439.24",56.4434,40,124,1059.99,0.4552,0,0
7_2021,12,5,5,2,10,2,58,2,"$1,910,493.63",793.1402,304,725,2635.16,1.094,7,21
8_2021,301,141,40,120,486,253,1964,52,"$104,976,453.46",34010.8621,6400,41613,2522.68,0.8173,147,788
9_2021,20,8,1,11,24,4,60,6,"$11,244,563.32",3202.7467,1157,3617,3108.81,0.8855,4,45
10_2021,98,48,11,39,26,46,359,7,"$16,694,342.90",4182.3078,1977,5235,3188.99,0.7989,46,334
11_2021,38,17,4,17,23,15,125,8,"$32,749,484.13",7358.722,4052,17934,1826.11,0.4103,17,59
12_2021,17,5,2,10,17,13,122,22,"$8,070,612.37",2009.6969,1882,6113,1320.24,0.3288,6,38
2_2022,61,37,3,21,24,55,327,12,"$5,711,184.49",2019.8052,2743,6164,926.54,0.3277,39,86
