month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link,Total Tweet Count
1_2020,21,6,1,14,3,5,41,1,"$58,316.82",372.526,138,2295,25.41,0.1623,8,23
3_2020,17,4,3,10,16,7,138,5,"$136,337.63",830.5796,253,4531,30.09,0.1833,9,24
4_2020,27,11,4,12,26,7,112,9,"$171,409.89",998.366,286,5098,33.62,0.1958,9,71
5_2020,39,8,3,28,28,8,97,0,"$139,177.31",669.6319,552,3824,36.4,0.1751,15,70
6_2020,69,21,6,42,37,74,147,4,"$182,610.43",778.521,432,3957,46.15,0.1967,35,109
7_2020,228,118,22,88,92,168,749,20,"$266,323.10",1039.4025,545,5073,52.5,0.2049,51,308
8_2020,395,171,22,202,177,386,1401,48,"$364,597.32",919.832,637,5461,66.76,0.1684,140,579
9_2020,553,255,63,235,177,423,1685,40,"$424,711.02",1155.61,674,5693,74.6,0.203,226,736
10_2020,1034,581,141,312,239,622,2575,106,"$495,800.62",1328.8025,802,6971,71.12,0.1906,335,1279
11_2020,2008,1277,253,478,609,1144,3348,233,"$581,350.22",1233.6813,1018,7900,73.59,0.1562,409,2628
1_2021,4568,3189,826,553,893,2529,10478,227,"$2,165,935.17",1812.6731,2153,16753,129.29,0.1082,744,5448
2_2021,10698,6308,3351,1039,2462,5056,39877,527,"$8,399,285.80",5311.4838,4301,33753,248.85,0.1574,1325,13469
6_2021,10540,5614,3412,1514,3606,5608,17711,760,"$5,540,038.90",2407.1111,5563,27812,199.2,0.0865,1407,14263
8_2021,19331,8532,8051,2748,10172,8344,36446,1277,"$14,944,180.75",4854.1564,9809,68114,219.4,0.0713,3282,29345
9_2021,13421,5541,3947,3933,18737,13791,57392,1471,"$19,911,363.58",6123.0611,13922,115673,172.13,0.0529,3600,30634
10_2021,14723,5738,3469,5516,33126,19634,69099,1533,"$20,046,739.74",5253.0011,17849,119452,167.82,0.044,4269,49675
11_2021,14867,5016,4238,5613,27524,20637,67651,1421,"$24,916,363.27",5654.5549,19086,120514,206.75,0.0469,4491,43941
1_2022,22420,6573,7067,8780,58625,40971,115434,2663,"$35,037,874.80",11699.5914,28281,278492,125.81,0.042,6549,83884
2_2022,24972,8209,7978,8785,63371,35442,130316,3701,"$40,603,306.33",14234.1288,35983,332561,122.09,0.0428,7615,101966
