month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link,Total Tweet Count
1_2021,1505,425,381,699,2826,534,7519,145,$958.60,0.7713,4,5,191.72,0.1543,549,4100
2_2021,1411,536,170,705,1887,583,7459,153,"$1,545.32",0.795,4,4,386.33,0.1988,557,4014
3_2021,2100,724,182,1194,2290,1444,12539,230,"$6,468.86",3.6,1,1,6468.86,3.6,748,4590
7_2021,2039,656,217,1166,7299,672,9677,316,"$1,488,735.62",660.0153,433,1010,1474,0.6535,899,8108
8_2021,1753,626,231,896,2575,866,9966,298,"$6,728,601.21",2145.3273,1885,3768,1785.72,0.5694,923,4216
9_2021,2720,1281,267,1172,13231,2735,22484,959,"$7,226,801.69",2202.4507,1889,3525,2050.16,0.6248,1061,12544
10_2021,2667,1088,261,1318,6009,1706,15845,488,"$9,188,808.34",2356.3267,1951,3391,2709.76,0.6949,1204,12161
11_2021,21964,12584,1051,8329,111774,84233,185763,55160,"$158,570,804.51",36531.1848,6561,15689,10107.13,2.3285,4901,88399
12_2021,41408,23669,2101,15638,232746,19114,111313,4365,"$98,926,143.91",24381.1709,6869,12246,8078.24,1.9909,9641,138621
1_2022,27846,8496,1972,17378,71321,28858,144699,4090,"$77,917,793.15",24997.4082,3841,6722,11591.46,3.7187,12809,114799
2_2022,28632,11993,1575,15064,38012,20445,89602,4585,"$5,547,289.70",2018.3465,1534,2298,2413.96,0.8783,10475,75180
