month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link,Total Tweet Count
5_2021,3872,1844,272,1756,1659,2778,14358,431,"$1,267,822.09",493.1884,111,190,6672.75,2.5957,1571,6187
6_2021,1572,737,128,707,1131,842,5735,289,"$10,309,223.09",4449.0647,285,621,16601,7.1644,407,2718
7_2021,1279,699,94,486,1157,1239,7485,386,"$8,580,987.53",3893.637,260,521,16470.23,7.4734,468,2443
8_2021,1720,939,149,632,1544,1615,9808,428,"$28,655,570.80",9262.6825,498,808,35464.82,11.4637,691,3429
9_2021,2903,1550,200,1153,3147,3282,15581,575,"$30,350,263.37",8730.6044,349,468,64850.99,18.6551,1157,6093
10_2021,1682,1094,85,503,4306,2189,10959,417,"$9,554,622.77",2507.1662,165,193,49505.82,12.9905,761,6067
11_2021,2940,1867,197,876,1880,2292,15192,551,"$9,979,991.86",2243.659,149,190,52526.27,11.8087,1226,4849
12_2021,2172,1177,237,758,3490,3953,18238,572,"$9,811,149.20",2419.5688,167,217,45212.67,11.1501,737,5634
1_2022,3168,1115,219,1834,2747,3513,16632,641,"$17,260,014.29",5360.1397,280,341,50615.88,15.7189,1635,5970
2_2022,4524,1211,110,3203,6071,1884,14957,528,"$6,856,074.34",2406.5718,126,147,46639.96,16.3712,3703,10663
