month,tweetsum,positive,negative,neutral,retweet_count,reply_count,like_count,quote_count,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH),media_link,Total Tweet Count
11_2020,3,2,0,1,3,5,23,3,"$16,234.74",29.6611,27,105,154.62,0.2825,1,6
12_2020,7,5,0,2,43,22,53,0,"$26,941.79",42.6032,65,225,119.74,0.1893,3,86
1_2021,8,6,0,2,1,2,25,1,"$656,364.27",544.3721,250,1044,628.7,0.5214,3,10
2_2021,40,29,2,9,26,25,221,6,"$6,580,936.58",3963.2073,748,3430,1918.64,1.1555,11,63
3_2021,55,21,0,34,20,22,116,5,"$6,147,047.91",3660.2441,930,3161,1944.65,1.1579,13,84
4_2021,1354,1043,3,308,148,79,979,22,"$4,684,628.27",2088.0812,691,2513,1864.16,0.8309,27,1567
5_2021,1482,379,5,1098,152,82,651,39,"$2,384,207.47",741.6198,457,1609,1481.79,0.4609,0,1713
6_2021,129,42,9,78,57,36,340,30,"$11,003,659.14",5121.6338,1098,6497,1693.65,0.7883,27,195
7_2021,330,135,33,162,269,212,2094,79,"$63,172,785.49",28665.2877,3272,19101,3307.3,1.5007,120,570
8_2021,1729,853,147,729,1371,1287,12677,360,"$586,836,157.91",183966.8738,12075,51248,11450.91,3.5897,683,3091
9_2021,1919,745,145,1029,3745,1316,10715,337,"$243,452,489.63",73833.9922,6268,16070,15149.5,4.5945,1137,5612
10_2021,3548,710,174,2664,1447,758,8890,272,"$93,914,540.68",26236.1662,3419,7426,12646.72,3.533,2795,5149
11_2021,3223,643,131,2449,1773,959,9581,334,"$69,255,275.41",15309.4126,3166,7450,9296.01,2.055,2642,4885
12_2021,4689,441,260,3988,2416,962,11536,366,"$54,398,168.54",13500.4478,4424,12255,4438.86,1.1016,4145,6957
1_2022,5618,729,293,4596,1891,1482,8493,479,"$33,517,593.06",11368.851,2916,6435,5208.64,1.7667,5279,7510
2_2022,12006,5794,786,5426,2908,3131,10563,962,"$23,708,219.71",8225.2244,2546,5654,4193.18,1.4548,11226,14923
