Name,Month,Sales(USD),Sales(ETH),UniqueBuyers,Total Transactions,Avg Sales(USD),Avg Sales (ETH)
Axie Infinity,18-Mar,"$16,274.08 ",37.4801,23,72,$226.03 ,0.5206
Axie Infinity,18-Apr,"$37,826.65 ",79.2938,54,160,$236.42 ,0.4956
Axie Infinity,18-May,"$48,585.79 ",70.1157,65,253,$192.04 ,0.2771
Axie Infinity,18-Jun,"$26,872.00 ",50.3357,52,184,$146.04 ,0.2736
Axie Infinity,18-Jul,"$17,708.04 ",38.436,60,156,$113.51 ,0.2464
Axie Infinity,18-Aug,"$43,970.56 ",144.3204,76,364,$120.80 ,0.3965
Axie Infinity,18-Sep,"$56,978.75 ",263.2616,73,548,$103.98 ,0.4804
Axie Infinity,18-Oct,"$65,921.47 ",317.7555,132,613,$107.54 ,0.5184
Axie Infinity,18-Nov,"$46,352.26 ",300.7261,185,1112,$41.68 ,0.2704
Axie Infinity,18-Dec,"$24,653.02 ",224.4242,174,1730,$14.25 ,0.1297
Axie Infinity,19-Jan,"$32,231.35 ",260.965,340,2771,$11.63 ,0.0942
Axie Infinity,19-Feb,"$25,729.76 ",205.8747,259,1801,$14.29 ,0.1143
Axie Infinity,19-Mar,"$128,630.84 ",962.2252,312,2352,$54.69 ,0.4091
Axie Infinity,19-Apr,"$39,342.58 ",241.3172,319,2035,$19.33 ,0.1186
Axie Infinity,19-May,"$51,879.11 ",255.7656,357,2035,$25.49 ,0.1257
Axie Infinity,19-Jun,"$38,285.09 ",142.9102,290,1643,$23.30 ,0.087
Axie Infinity,19-Jul,"$23,286.12 ",89.7213,202,1439,$16.18 ,0.0623
Axie Infinity,19-Aug,"$10,725.92 ",53.3895,186,1451,$7.39 ,0.0368
Axie Infinity,19-Sep,"$5,410.22 ",29.3698,118,823,$6.57 ,0.0357
Axie Infinity,19-Oct,"$10,296.51 ",57.6903,174,1849,$5.57 ,0.0312
Axie Infinity,19-Nov,"$26,448.28 ",148.6318,200,1625,$16.28 ,0.0915
Axie Infinity,19-Dec,"$40,676.58 ",292.3316,323,3790,$10.73 ,0.0771
Axie Infinity,20-Jan,"$42,809.43 ",265.6963,471,3540,$12.09 ,0.0751
Axie Infinity,20-Feb,"$28,232.41 ",118.6145,382,2257,$12.51 ,0.0526
Axie Infinity,20-Mar,"$23,866.87 ",151.8516,483,2808,$8.50 ,0.0541
Axie Infinity,20-Apr,"$28,701.87 ",175.5544,415,2950,$9.73 ,0.0595
Axie Infinity,20-May,"$17,802.69 ",86.0143,425,1896,$9.39 ,0.0454
Axie Infinity,20-Jun,"$11,347.78 ",48.058,267,1032,$11.00 ,0.0466
Axie Infinity,20-Jul,"$82,373.24 ",327.1995,871,3458,$23.82 ,0.0946
Axie Infinity,20-Aug,"$176,762.97 ",445.1786,1129,3470,$50.94 ,0.1283
Axie Infinity,20-Sep,"$971,680.87 ",2743.3019,2468,8301,$117.06 ,0.3305
Axie Infinity,20-Oct,"$1,620,213.33 ",4248.9025,3934,16213,$99.93 ,0.2621
Axie Infinity,20-Nov,"$2,138,575.90 ",4520.7282,6917,30159,$70.91 ,0.1499
Axie Infinity,20-Dec,"$1,400,465.89 ",2304.4516,6011,23304,$60.10 ,0.0989
Axie Infinity,21-Jan,"$930,549.61 ",806.4552,1848,5710,$162.97 ,0.1412
Axie Infinity,21-Feb,"$1,661,326.53 ",967.6123,2038,6038,$275.15 ,0.1603
Axie Infinity,21-Mar,"$5,600,457.69 ",3228.0068,5961,18744,$298.79 ,0.1722
Axie Infinity,21-Apr,"$4,774,363.83 ",2084.3564,5215,15950,$299.33 ,0.1307
Axie Infinity,21-May,"$27,712,127.44 ",9787.0518,17416,113093,$245.04 ,0.0865
Axie Infinity,21-Jun,"$122,233,238.83 ",54256.5929,61655,435468,$280.69 ,0.1246
Axie Infinity,21-Jul,"$666,909,764.78 ",315491.1971,215089,1349597,$494.15 ,0.2338
Axie Infinity,21-Aug,"$848,183,429.85 ",277873.3477,305264,1854260,$457.42 ,0.1499
Axie Infinity,21-Sep,"$518,458,025.13 ",153665.719,320888,1819831,$284.89 ,0.0844
Axie Infinity,21-Oct,"$545,934,208.87 ",145319.9751,391627,2067429,$264.06 ,0.0703
Axie Infinity,21-Nov,"$753,987,033.42 ",169544.9978,520425,2643500,$285.22 ,0.0641
Axie Infinity,21-Dec,"$301,372,336.87 ",73385.2509,424325,1748466,$172.36 ,0.042
Axie Infinity,22-Jan,"$126,493,822.11 ",40465.5195,314642,1296870,$97.54 ,0.0312
Axie Infinity,22-Feb,"$82,566,793.30 ",28309.8478,270219,1160793,$71.13 ,0.0244
Axie Infinity,22-Mar,"$11,084,574.25 ",4043.5257,69296,210970,$52.54 ,0.0192
